thiNksmaRt Library Books Catalog,,,,,,,
CIVILS,,,,,,,
TSBN,ISBN,Card No.,Book Title,Author,Publication,Edition/Part,Copies
STA009,,346,"Telangana Prabutva Vidanaalu - Pathakaalu, Kendra Prabutva vidanaalu pathakaalu",Narsimhulu,Vivana,8,
STA010,,347,Hitech Vijaya Rahasyam GK (2018-19) Supplement,,Hitech,,
MATHS,,,,,,,
MAT001,9788170089391,348,Differntial Equations,N.P. Bali,LP,,
MAT002,9788120307865,349,Computer Oriented Numerical Methods,V. Rajaraman,PHI,,
MAT003,9789380298245,350,Linear Algrebra,Prakash Om,LP,,
MAT004,9788121930710,351,Numerical Analysis,Ranganatham,S. Chand,,2
MAT005,8121904714,352,Differntial Calculus,Shanti Narayan,S. Chand,,2
MAT006,8121925967,353,A textbook of Matrices,Shanti Narayan,S. Chand,,
MAT007,8121902819,354,Operations Research,Prem Kumar Gupta,S. Chand,,
MAT008,9788184310221,355,Switching Theory and Logic Design,A.P. Godse,Technical Publications Pune,,
MAT005,8121904714,356,Differntial Calculus,Shanti Narayan,S. Chand,,2
MAT009,8121938902,357,Higher Engineering Mathematics,H.K. Dass,S. Chand,,
MAT010,70990093,358,Theory and problems of Vector Analysis,Murray R,Schaum's Outline Series,,
MAT011,8121908925,359,Ordinary and Partial Differential Equations,M.D. Raisinghania,S. Chand,,
MAT012,8121906814,360,Integral Calculus,Shanti Narayan,S. Chand,,
MAt013,8121905990,361,Mechanics For Studenrs of B.Sc,D.S. Mathur,S. Chand,,
MAT014,,362,Analytical Solid Geometry,A.R. Vasishta,Krishna Prakashan Media,,
MAT015,,363,Differntial Calculus,A.R. Vasishta,Krishna Prakashan Media,,
MAT016,,364,Matrices,A.R. Vasishta,Krishna Prakashan Media,,
MAT017,,365,Matrices,A.R. Vasishta,Krishna Prakashan Media,,
MAT018,,366,Numerical Analysis,A.R. Vasishta,Krishna Prakashan Media,,
MAT019,,367,Vector Calculus,A.R. Vasishta,Krishna Prakashan Media,,2
MAT020,,368,Vector Calculus,R. Gupta,LP,,
